id	genre
01rMxQv6vhyE1oQX	['rock', 'pop punk']
02ZnlCGZEbkfCDxo	['pop', 'italian pop', 'latin', 'europop', 'ambient', 'pop rock', 'easy listening', 'world', 'water', 'latin pop', 'pop folk']
04OjszRi9rC5BlHC	['experimental', 'folk', 'lo fi', 'freak folk', 'indie rock', 'ambient', 'indie pop', 'dream pop', 'indie folk', 'rock', 'new weird america', 'soundtrack', 'pop', 'soul', 'alternative rock', 'post rock', 'shoegaze']
04iitW3ffa0mhpx3	['pop', 'r b', 'hip hop', 'soul', 'rhythm and blues', 'singer songwriter', 'neo soul']
04xUDjAYC14jsHyH	['punk', 'emo', 'post hardcore', 'post punk', 'melodic hardcore']
06HvNTU9M9lnH71I	['jazz', 'easy listening', 'swing', 'smooth jazz', 'vocal jazz']
06WySIW5UDIHF2Ri	['punk', 'indie rock', 'lo fi', 'post punk', 'alternative rock']
07bR4m5Oo4lvHJFW	['ambient', 'downtempo', 'electronica', 'experimental', 'electro', 'hypnosis', 'trip hop', 'soft rock', 'avant garde', 'ambient techno', 'techno', 'indietronica', 'ebm', 'chill out', 'power electronics']
09mWmQm7ixF4cCjx	['metalcore', 'post hardcore', 'hardcore', 'metal', 'screamo']
0AUV4mCpGOuuWNUX	['thrash metal', 'metal', 'speed metal', 'slayer']
0BVyGvdW4ntQDEcu	['rock', 'alternative rock', 'britpop', 'soft rock', 'psychedelic rock', 'glam rock', 'emo', 'indie rock', 'singer songwriter', 'quiet storm', 'post punk', 'alternative pop rock']
0DNKXcAGmMYmJdjP	['rock', 'pop', 'alternative rock', 'soundtrack', 'indie rock', 'pop rock', 'piano rock']
0DXkmUpDJT0AyerU	['rock', 'emo', 'punk', 'alternative rock', 'pop punk', 'emocore', 'post hardcore', 'indie rock', 'screamo', 'hardcore', 'pop rock', 'techno', 'pop', 'power pop']
0E1zWP8MXmbXfTTX	['dream pop']
0EVEKKlvBiB0Dkge	['post hardcore', 'metalcore']
0F5ITSxH0rBegwve	['rock', 'classic rock', 'progressive rock', 'symphonic rock', 'pop', 'album rock', 'easy listening', 'soft rock', 'electronic rock']
0IqeNloQ3SuH1b4V	['singer songwriter', 'folk', 'indie rock', 'indie pop', 'indie folk', 'lo fi']
0JYaNceX5H5sSUJi	['pop', 'new wave']
0K2vsBA9smDZxKno	['punk', 'rock']
0KrfpITRYCMTHZno	['pop rock']
0LZdcvMJHDWZyVDS	['country', 'singer songwriter', 'folk rock', 'alternative country', 'rock', 'folk', 'folk pop', 'country rock', 'roots rock']
0MMDu3QYnVUgnX2L	['folk rock', 'classic rock', 'folk', 'rock', 'pop', 'britpop', 'blues', 'violin', 'art rock', 'psychedelic folk']
0MXDGjV7Qg5AEpGu	['rock', 'indie rock', 'alternative rock', 'grunge', 'garage rock', 'punk', 'emo', 'hard rock', 'ska']
0NTv0wWYCzQNjE0m	['rock nacional', 'rock', 'mpb', 'pop', 'reggae', 'pop rock', 'new wave', 'ska', 'brazilian rock']
0NlLsUEZeTNagO3r	['soundtrack', 'rock', 'singer songwriter', 'classic rock', 'pop', 'pop rock', 'soft rock']
0O17o38iEPkl4FWD	['doom metal', 'progressive metal', 'metal', 'progressive rock', 'dark rock', 'gothic metal', 'alternative metal', 'rock', 'alternative rock', 'melodic death metal', 'death metal', 'gothic rock', 'pop', 'industrial metal', 'swedish metal', 'post metal', 'swedish emo']
0OuXKk7qlgvo6egK	['indie rock']
0QSQ3CDT5x4GRIgi	['pop', 'latin', 'latin pop', 'emo', 'electronica', 'rock', 'singer songwriter', 'easy listening', 'dance pop', 'soft rock', 'house']
0QSuci5nyuRojGbo	['black metal', 'raw black metal', 'finnish black metal', 'metal', 'melodic black metal']
0RswMLgk4KS4GbIP	['hip hop', 'trap']
0SpykgFTUzfUTJkN	['rock', 'pop punk', 'alternative rock', 'emo', 'pop rock', 'punk', 'power pop', 'indie rock', 'pop', 'indie pop', 'garage rock']
0TanEa2QCnKAedsL	['hip hop', 'rap', 'trap', 'pop rap', 'southern hip hop']
0UHzuflmmfXZkZNQ	['hardcore', 'post hardcore', 'metalcore', 'metal', 'emo', 'screamo', 'melodic hardcore', 'emocore', 'melodic metalcore']
0Vbfs25K0D6Yuq5T	['metalcore', 'metal', 'christian metalcore', 'progressive metal', 'thrash metal', 'hardcore', 'melodic metalcore']
0Wc7JGEjjUDM4vp2	['folk']
0We9TRA5zyjS7ush	['rock', 'alternative rock', 'post grunge', 'punk', 'hard rock', 'indie rock', 'noise rock', 'stoner rock', 'pop rock', 'hollywood']
0WnFjxBFNLqMCT1i	['gospel', 'praise', 'worship', 'contemporary gospel', 'soul', 'gospel soul']
0Y5TcGlWJnW7IVdK	['pop', 'dance pop', 'rock', 'disco', 'new wave', 'singer songwriter']
0ZLbSoXXsKlXYZ7a	['jazz', 'vocal jazz', 'soul', 'blues', 'pop', 'rock', 'funk', 'acid jazz', 'lounge', 'swing', 'easy listening']
0ZeUa6hsJJrS2bI4	['black metal', 'post black metal', 'depressive black metal', 'shoegaze', 'metal', 'ambient', 'post rock', 'post punk']
0Zhw8ngsZeMvxZM3	['lo fi']
0eQ9qGzhU6U8qBAh	['hard rock', 'glam metal', 'glam rock', 'classic rock', 'metal', 'rock', 'blues rock', 'hollywood', 'sleaze rock']
